S.No,Triage_Level,Urgency_Score,Predicted_Need,Quantity,Predicted_Location,Latitude,Longitude,Assigned_Resource_Center,Distance_km,Original_Text
22,green,13.0,drinking water,not given,anna nagar,13.085,80.2101,Anna Nagar Center,0.0,"""Thirst help no drinking water for 24 hrs in anna nagar east"""
37,green,12.0,shelter,2 people,koyambedu,13.0694,80.1948,Anna Nagar Center,2.4,"""Building wall collapsed near koyambedu help 2 people under"""
1,green,12.0,shelter,2 kids,mudichur,12.923,80.0631,Tambaram Airforce,6.98,"""Water entering inside my home in mudichur hie till knee. 2 kids stuck pls help"""
3,green,11.0,food,not given,"phoenix mall, velachery",12.9915,80.2223,Velachery Relief Camp,1.21,"""vellam adhigama iruku stranded on terrace near phoenix mall velachery no food"""
21,green,11.0,food,not given,saidapet,13.0213,80.2231,Velachery Relief Camp,4.46,"""No food for 2 days in saidapet kids are crying pls send food packets"""
24,green,11.0,food,not given,madipakkam,12.9647,80.1961,Velachery Relief Camp,3.02,"""Need milk for baby in madippakam water high around house"""
6,green,11.0,error,3 infants,chennai general,13.0827,80.2707,Chennai Central,0.0,"""Enga veetla water uptill terrace. 3 infants and 1 disabled person. help soon"""
49,green,11.0,food,not given,beside park,13.0827,80.2707,Chennai Central,0.0,"""Beside park help people crying for food"""
26,green,11.0,food,not given,tidel park,12.9895,80.2476,Velachery Relief Camp,3.33,"""Stranded in office near tidel park no food or water help"""
42,green,9.0,shelter,not given,chennai general,13.0827,80.2707,Chennai Central,0.0,"""My kids stuck in school building fire spreading help fast"""
34,green,9.0,shelter,not given,marina beach,13.05,80.2824,Marina Beach Office,0.28,"""Trapped on roof water rising no way down near marina beach"""
38,green,9.0,shelter,not given,besant nagar,13.0003,80.2667,Marina Beach Office,5.52,"""Tree fallen on house blocking door help in besant nagar"""
31,green,9.0,shelter,not given,parrys corner,13.0894,80.2878,Chennai Central,2.0,"""Smoke in building near parrys corner help stuck in 4th floor"""
23,green,9.0,shelter,not given,porur,13.0382,80.1544,Anna Nagar Center,7.97,"""Power cut for 3 days no charge in phone help near porur"""
28,green,9.0,shelter,not given,royapuram,13.1137,80.2954,Chennai Central,4.36,"""Need candle and matchbox in royapuram dark since morning"""
45,green,9.0,shelter,not given,chennai general,13.0827,80.2707,Chennai Central,0.0,"""Stuck in flood water near temple water flow is high"""
44,green,9.0,shelter,not given,"ashok nagar, 5th ave",13.0355,80.2121,Anna Nagar Center,5.51,"""No power in ashok nagar 5th avenue for 2 days help"""
47,green,9.0,shelter,not given,chennai general,13.0827,80.2707,Chennai Central,0.0,"""Water till neck in house help can't swim"""
43,green,9.0,shelter,not given,chennai general,13.0827,80.2707,Chennai Central,0.0,"""Water touching my feet on terrace help fast rising"""
46,green,9.0,shelter,not given,koyambedu,13.0694,80.1948,Anna Nagar Center,2.4,"""Building cracking sounds help Koyambedu"""
5,green,5.0,error,not given,nungambakkam,13.0583,80.24,Chennai Central,4.29,"""Full water on road nungambakkam area stranded in car water touching door help"""
7,green,5.0,error,not given,chennai general,13.0827,80.2707,Chennai Central,0.0,"""Velachery water high fast flow help pls stuck in apartment 2nd floor"""
4,green,5.0,error,not given,chennai general,13.0827,80.2707,Chennai Central,0.0,"""Water rising fast in perungudi near toll plaza. Grandma cant walk pls hlp"""
